frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
45,1.0,[67.31411743164062 988.61767578125 1326.89404296875 1698.56201171875],[296.37957763671875 1383.28759765625 586.829833984375 1482.61181640625],0.7510210275650024,MI399CI,0.9234138449688075
46,1.0,[67.34661865234375 989.0956420898438 1327.4390869140625 1700.1685791015625],[297.72283935546875 1384.788818359375 586.298095703125 1481.3463134765625],0.7476402521133423,ME399CI,0.5202174074343878
47,1.0,[67.48291015625 989.4766845703125 1327.3255615234375 1701.006103515625],[297.1524658203125 1385.2540283203125 585.8956909179688 1481.876220703125],0.7443991303443909,MI399CI,0.6312660372727391
47,2.0,[2359.404541015625 1027.77392578125 3559.31884765625 1719.2508544921875],[3015.601318359375 1524.46240234375 3319.666259765625 1620.82861328125],0.6587809324264526,MI899FM,0.9851833512928134
48,3.0,[1303.7095947265625 1012.7625122070312 2224.40576171875 1744.113037109375],[1602.5244140625 1531.5146484375 1900.313232421875 1633.1627197265625],0.7576450109481812,MI589FN,0.9904822180910191
48,1.0,[68.0118179321289 989.7915649414062 1326.526611328125 1701.4156494140625],[296.2656555175781 1383.576416015625 587.292236328125 1484.2613525390625],0.7438898086547852,MI5399CT,0.34876311552882167
48,2.0,[2359.58544921875 1027.87060546875 3559.950927734375 1722.3900146484375],[3015.9794921875 1523.9168701171875 3318.8271484375 1620.8778076171875],0.6696679592132568,MI899FM,0.9959103684198347
49,1.0,[68.18938446044922 990.1016235351562 1325.4461669921875 1701.0736083984375],[301.7698974609375 1384.348876953125 588.3590087890625 1484.4114990234375],0.7464033961296082,MI399CT,0.9886323030501694
50,1.0,[68.62944030761719 990.1259765625 1324.1163330078125 1701.217041015625],[302.65875244140625 1384.617431640625 590.3677978515625 1484.952392578125],0.748525083065033,MI399CT,0.8500564264569689
51,1.0,[69.37031555175781 988.4266967773438 1319.087890625 1697.7327880859375],[306.6813049316406 1386.609130859375 588.6683349609375 1484.796630859375],0.7512641549110413,MI399CT,0.5309295712414983
51,2.0,[2361.144287109375 1026.2647705078125 3559.243896484375 1721.989013671875],[3015.3916015625 1523.480712890625 3319.2470703125 1619.40673828125],0.630172848701477,MI899FM,0.9890817647185789
52,1.0,[68.64073944091797 988.989990234375 1317.71826171875 1697.2694091796875],[307.1107177734375 1387.32568359375 588.6231079101562 1485.3160400390625],0.7461344599723816,MI399CT,0.9359580277377891
52,2.0,[2359.8544921875 1027.052490234375 3562.007080078125 1723.5126953125],[3015.6640625 1521.473388671875 3319.31298828125 1622.910888671875],0.6099024415016174,MIF899FM,0.471031957959365
53,3.0,[1306.0067138671875 1012.704345703125 2227.09326171875 1743.905517578125],[1591.6878662109375 1532.202880859375 1899.7305908203125 1635.686767578125],0.7561754584312439,MI589FN,0.9944302360134737
53,1.0,[69.31808471679688 989.3641357421875 1318.3245849609375 1696.7210693359375],[307.8413391113281 1387.55419921875 587.279296875 1486.2158203125],0.7460067272186279,MI399CI,0.8362190088226854
54,3.0,[1305.9920654296875 1013.0619506835938 2227.551513671875 1745.005859375],[1593.221435546875 1533.210205078125 1898.008056640625 1635.75732421875],0.7606857419013977,MI589FN,0.9962673097759395
54,1.0,[69.23766326904297 991.9100341796875 1323.3765869140625 1699.689208984375],[308.17138671875 1388.0247802734375 586.52685546875 1488.1435546875],0.7392116189002991,MI399CT,0.9838945196949525
54,2.0,[2358.352294921875 1029.162841796875 3563.720947265625 1728.37158203125],[3020.593505859375 1522.51513671875 3316.576171875 1622.910888671875],0.6097373366355896,MIF899FM,0.5126855044785645
55,3.0,[1306.6392822265625 1013.6725463867188 2227.7548828125 1745.9364013671875],[1594.143310546875 1533.6873779296875 1897.389404296875 1636.2330322265625],0.7628739476203918,MI589FN,0.9978713670636692
55,1.0,[69.6939926147461 991.7263793945312 1325.4295654296875 1701.584228515625],[308.76666259765625 1388.7542724609375 587.2232055664062 1487.50634765625],0.7396841645240784,MI399CT,0.637828961137771
55,2.0,[2358.12255859375 1030.049560546875 3564.078369140625 1729.98779296875],[3021.66455078125 1524.5980224609375 3316.146484375 1623.8953857421875],0.652963399887085,MI899FM,0.9894659483668138
56,3.0,[1307.5509033203125 1014.8927612304688 2227.89013671875 1747.9766845703125],[1595.1494140625 1533.5269775390625 1898.579833984375 1637.2188720703125],0.7679875493049622,MI589FN,0.9218533540832713
56,1.0,[69.91061401367188 991.172119140625 1326.1322021484375 1704.919921875],[306.7144775390625 1388.321533203125 587.6986083984375 1487.96630859375],0.7350967526435852,MI399CT,0.9287275660145253
